资源表,资源排序,是否仪表盘主记录,CTA总点击量,关键事件触发次数,CTA点击率,独立访客数,solution页面总访问量,官网总访问量,社媒总曝光量,周次,增长最快solution,关键事件转化率,建议动作,更新时间,落地页访问量,CTA点击量,solution名称,主要流量来源,参与率,会话数,最新周次,数据状态,平均停留时长,分析结论,表单提交,页面->CTA转化率,表单提交(leads),销售跟进数,页面访问量,一键加购,CTA->表单转化率,点击数,转化数,周期结束,最佳内容类型,平台,周期开始,发帖数,网站会话数,互动率,备注,互动数,曝光|播放,建议UTM渠道参数,转化率,评论,判断结论,统计周期结束,分享|收藏,点赞,点击率,发布日期,链接|素材,内容类型,统计周期开始,下次动作
03_转化漏斗,02-0041,否,,,,,,,,,,,,,,,对话式语音 AI,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0042,否,,,,,,,,,,,,,,,环境监测,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0043,否,,,,,,,,,,,,,,,楼宇能源改造,,,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0044,否,,,,,,,,,,,,,,,智能畜牧养殖,,,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0045,否,,,,,,,,,,,,,,,智慧农业传感,,,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0046,否,,,,,,,,,,,,,,,校园安全管理,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0047,否,,,,,,,,,,,,,,,应急响应,,,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_转化漏斗,02-0048,否,,,,,,,,,,,,,,,楼宇能源管理,,,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_社媒平台表现,03-0001,否,,,,,,,,,,,,,,,,,,,,GA4仅有社媒合计,,,,,,,,,,GA4仅能观察网站会话，未拆平台点击,12,2026-07-05,待接入平台后台数据后判断,GA4 Organic Social 合计,2026-06-30,,307,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.039088,,,,,,,,,,,
04_社媒平台表现,03-0002,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-05,,LinkedIn,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0003,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-05,,X,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0004,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-05,,FB,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0005,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-05,,小红书,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0006,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-05,,抖音,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0007,否,,,,,,,,,,,,,,,,,,,,GA4仅有社媒合计,,,,,,,,,,GA4仅能观察网站会话，未拆平台点击,10,2026-07-12,待接入平台后台数据后判断,GA4 Organic Social 合计,2026-07-06,,210,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.047619,,,,,,,,,,,
04_社媒平台表现,03-0008,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-12,,LinkedIn,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0009,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-12,,X,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0010,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-12,,FB,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0011,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-12,,小红书,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0012,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-12,,抖音,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0013,否,,,,,,,,,,,,,,,,,,,,GA4仅有社媒合计,,,,,,,,,,GA4仅能观察网站会话，未拆平台点击,0,2026-07-19,待接入平台后台数据后判断,GA4 Organic Social 合计,2026-07-13,,13,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.000000,,,,,,,,,,,
04_社媒平台表现,03-0014,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-19,,LinkedIn,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0015,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-19,,X,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0016,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-19,,FB,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0017,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-19,,小红书,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0018,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-19,,抖音,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0019,否,,,,,,,,,,,,,,,,,,,,GA4仅有社媒合计,,,,,,,,,,GA4仅能观察网站会话，未拆平台点击,0,2026-07-26,待接入平台后台数据后判断,GA4 Organic Social 合计,2026-07-20,,25,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.000000,,,,,,,,,,,
04_社媒平台表现,03-0020,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-26,,LinkedIn,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0021,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-26,,X,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0022,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-26,,FB,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0023,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-26,,小红书,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,,,,,,,,,,,,
04_社媒平台表现,03-0024,否,,,,,,,,,,,,,,,,,,,,待手动导入平台后台数据,,,,,,,,,,,,2026-07-26,,抖音,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,,,,,,,,,,,,
05_社媒内容表现,04-0001,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,2026-06-30,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0002,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,2026-06-30,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0003,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,2026-06-30,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0004,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小红书,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,2026-06-30,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0005,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抖音,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,2026-06-30,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0006,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,2026-07-06,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0007,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,2026-07-06,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0008,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,2026-07-06,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0009,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小红书,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,2026-07-06,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0010,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抖音,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,2026-07-06,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0011,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,2026-07-13,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0012,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,2026-07-13,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0013,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,2026-07-13,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0014,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小红书,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,2026-07-13,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0015,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抖音,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,2026-07-13,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0016,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,2026-07-20,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0017,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,2026-07-20,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0018,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,2026-07-20,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0019,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小红书,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,2026-07-20,接入平台后台数据；所有社媒链接统一加UTM
05_社媒内容表现,04-0020,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抖音,,,,,,,,,,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,2026-07-20,接入平台后台数据；所有社媒链接统一加UTM
